clean,corrupted,label
The impact lasted from the year 1663 to the year 16,The impact lasted from the year 1601 to the year 16,63
The program lasted from the year 1216 to the year 12,The program lasted from the year 1201 to the year 12,16
The order lasted from the year 1378 to the year 13,The order lasted from the year 1301 to the year 13,78
The shift lasted from the year 1517 to the year 15,The shift lasted from the year 1501 to the year 15,17
The test lasted from the year 1421 to the year 14,The test lasted from the year 1401 to the year 14,21
The plan lasted from the year 1162 to the year 11,The plan lasted from the year 1101 to the year 11,62
The program lasted from the year 1410 to the year 14,The program lasted from the year 1401 to the year 14,10
The process lasted from the year 1372 to the year 13,The process lasted from the year 1301 to the year 13,72
The attack lasted from the year 1697 to the year 16,The attack lasted from the year 1601 to the year 16,97
The process lasted from the year 1725 to the year 17,The process lasted from the year 1701 to the year 17,25
The program lasted from the year 1780 to the year 17,The program lasted from the year 1701 to the year 17,80
The development lasted from the year 1227 to the year 12,The development lasted from the year 1201 to the year 12,27
The fall lasted from the year 1706 to the year 17,The fall lasted from the year 1701 to the year 17,6
The study lasted from the year 1787 to the year 17,The study lasted from the year 1701 to the year 17,87
The fall lasted from the year 1234 to the year 12,The fall lasted from the year 1201 to the year 12,34
The campaign lasted from the year 1592 to the year 15,The campaign lasted from the year 1501 to the year 15,92
The trial lasted from the year 1664 to the year 16,The trial lasted from the year 1601 to the year 16,64
The progress lasted from the year 1130 to the year 11,The progress lasted from the year 1101 to the year 11,30
The marriage lasted from the year 1419 to the year 14,The marriage lasted from the year 1401 to the year 14,19
The attack lasted from the year 1607 to the year 16,The attack lasted from the year 1601 to the year 16,7
The order lasted from the year 1161 to the year 11,The order lasted from the year 1101 to the year 11,61
The fall lasted from the year 1528 to the year 15,The fall lasted from the year 1501 to the year 15,28
The testing lasted from the year 1621 to the year 16,The testing lasted from the year 1601 to the year 16,21
The plan lasted from the year 1695 to the year 16,The plan lasted from the year 1601 to the year 16,95
The program lasted from the year 1526 to the year 15,The program lasted from the year 1501 to the year 15,26
The fall lasted from the year 1617 to the year 16,The fall lasted from the year 1601 to the year 16,17
The rise lasted from the year 1234 to the year 12,The rise lasted from the year 1201 to the year 12,34
The quest lasted from the year 1259 to the year 12,The quest lasted from the year 1201 to the year 12,59
The trip lasted from the year 1369 to the year 13,The trip lasted from the year 1301 to the year 13,69
The project lasted from the year 1664 to the year 16,The project lasted from the year 1601 to the year 16,64
The fall lasted from the year 1472 to the year 14,The fall lasted from the year 1401 to the year 14,72
The testing lasted from the year 1485 to the year 14,The testing lasted from the year 1401 to the year 14,85
The trial lasted from the year 1572 to the year 15,The trial lasted from the year 1501 to the year 15,72
The order lasted from the year 1713 to the year 17,The order lasted from the year 1701 to the year 17,13
The campaign lasted from the year 1622 to the year 16,The campaign lasted from the year 1601 to the year 16,22
The deal lasted from the year 1230 to the year 12,The deal lasted from the year 1201 to the year 12,30
The riot lasted from the year 1552 to the year 15,The riot lasted from the year 1501 to the year 15,52
The existence lasted from the year 1397 to the year 13,The existence lasted from the year 1301 to the year 13,97
The process lasted from the year 1723 to the year 17,The process lasted from the year 1701 to the year 17,23
The order lasted from the year 1290 to the year 12,The order lasted from the year 1201 to the year 12,90
The employment lasted from the year 1412 to the year 14,The employment lasted from the year 1401 to the year 14,12
The study lasted from the year 1545 to the year 15,The study lasted from the year 1501 to the year 15,45
The quest lasted from the year 1582 to the year 15,The quest lasted from the year 1501 to the year 15,82
The operation lasted from the year 1393 to the year 13,The operation lasted from the year 1301 to the year 13,93
The contract lasted from the year 1208 to the year 12,The contract lasted from the year 1201 to the year 12,8
The tests lasted from the year 1476 to the year 14,The tests lasted from the year 1401 to the year 14,76
The rule lasted from the year 1579 to the year 15,The rule lasted from the year 1501 to the year 15,79
The operation lasted from the year 1134 to the year 11,The operation lasted from the year 1101 to the year 11,34
The study lasted from the year 1640 to the year 16,The study lasted from the year 1601 to the year 16,40
The shift lasted from the year 1796 to the year 17,The shift lasted from the year 1701 to the year 17,96
The shift lasted from the year 1344 to the year 13,The shift lasted from the year 1301 to the year 13,44
The shift lasted from the year 1207 to the year 12,The shift lasted from the year 1201 to the year 12,7
The attack lasted from the year 1668 to the year 16,The attack lasted from the year 1601 to the year 16,68
The attack lasted from the year 1352 to the year 13,The attack lasted from the year 1301 to the year 13,52
The operation lasted from the year 1293 to the year 12,The operation lasted from the year 1201 to the year 12,93
The shift lasted from the year 1487 to the year 14,The shift lasted from the year 1401 to the year 14,87
The study lasted from the year 1649 to the year 16,The study lasted from the year 1601 to the year 16,49
The contact lasted from the year 1448 to the year 14,The contact lasted from the year 1401 to the year 14,48
The shift lasted from the year 1277 to the year 12,The shift lasted from the year 1201 to the year 12,77
The contract lasted from the year 1520 to the year 15,The contract lasted from the year 1501 to the year 15,20
The trial lasted from the year 1205 to the year 12,The trial lasted from the year 1201 to the year 12,5
The contract lasted from the year 1366 to the year 13,The contract lasted from the year 1301 to the year 13,66
The contact lasted from the year 1165 to the year 11,The contact lasted from the year 1101 to the year 11,65
The study lasted from the year 1791 to the year 17,The study lasted from the year 1701 to the year 17,91
The rise lasted from the year 1274 to the year 12,The rise lasted from the year 1201 to the year 12,74
The existence lasted from the year 1576 to the year 15,The existence lasted from the year 1501 to the year 15,76
The trial lasted from the year 1516 to the year 15,The trial lasted from the year 1501 to the year 15,16
The shift lasted from the year 1573 to the year 15,The shift lasted from the year 1501 to the year 15,73
The attack lasted from the year 1644 to the year 16,The attack lasted from the year 1601 to the year 16,44
The attack lasted from the year 1518 to the year 15,The attack lasted from the year 1501 to the year 15,18
The growth lasted from the year 1339 to the year 13,The growth lasted from the year 1301 to the year 13,39
The test lasted from the year 1703 to the year 17,The test lasted from the year 1701 to the year 17,3
The quest lasted from the year 1510 to the year 15,The quest lasted from the year 1501 to the year 15,10
The employment lasted from the year 1141 to the year 11,The employment lasted from the year 1101 to the year 11,41
The effect lasted from the year 1785 to the year 17,The effect lasted from the year 1701 to the year 17,85
The test lasted from the year 1592 to the year 15,The test lasted from the year 1501 to the year 15,92
The impact lasted from the year 1352 to the year 13,The impact lasted from the year 1301 to the year 13,52
The marriage lasted from the year 1360 to the year 13,The marriage lasted from the year 1301 to the year 13,60
The program lasted from the year 1529 to the year 15,The program lasted from the year 1501 to the year 15,29
The contract lasted from the year 1781 to the year 17,The contract lasted from the year 1701 to the year 17,81
The plan lasted from the year 1213 to the year 12,The plan lasted from the year 1201 to the year 12,13
The impact lasted from the year 1231 to the year 12,The impact lasted from the year 1201 to the year 12,31
The trip lasted from the year 1333 to the year 13,The trip lasted from the year 1301 to the year 13,33
The trial lasted from the year 1731 to the year 17,The trial lasted from the year 1701 to the year 17,31
The employment lasted from the year 1297 to the year 12,The employment lasted from the year 1201 to the year 12,97
The program lasted from the year 1326 to the year 13,The program lasted from the year 1301 to the year 13,26
The process lasted from the year 1669 to the year 16,The process lasted from the year 1601 to the year 16,69
The campaign lasted from the year 1772 to the year 17,The campaign lasted from the year 1701 to the year 17,72
The rise lasted from the year 1180 to the year 11,The rise lasted from the year 1101 to the year 11,80
The contact lasted from the year 1240 to the year 12,The contact lasted from the year 1201 to the year 12,40
The riot lasted from the year 1511 to the year 15,The riot lasted from the year 1501 to the year 15,11
The process lasted from the year 1459 to the year 14,The process lasted from the year 1401 to the year 14,59
The plan lasted from the year 1634 to the year 16,The plan lasted from the year 1601 to the year 16,34
The rise lasted from the year 1133 to the year 11,The rise lasted from the year 1101 to the year 11,33
The contract lasted from the year 1256 to the year 12,The contract lasted from the year 1201 to the year 12,56
The employment lasted from the year 1625 to the year 16,The employment lasted from the year 1601 to the year 16,25
The development lasted from the year 1436 to the year 14,The development lasted from the year 1401 to the year 14,36
The riot lasted from the year 1777 to the year 17,The riot lasted from the year 1701 to the year 17,77
The study lasted from the year 1480 to the year 14,The study lasted from the year 1401 to the year 14,80
The employment lasted from the year 1658 to the year 16,The employment lasted from the year 1601 to the year 16,58
The effect lasted from the year 1169 to the year 11,The effect lasted from the year 1101 to the year 11,69
The rule lasted from the year 1525 to the year 15,The rule lasted from the year 1501 to the year 15,25
The process lasted from the year 1360 to the year 13,The process lasted from the year 1301 to the year 13,60
The project lasted from the year 1636 to the year 16,The project lasted from the year 1601 to the year 16,36
The testing lasted from the year 1653 to the year 16,The testing lasted from the year 1601 to the year 16,53
The study lasted from the year 1179 to the year 11,The study lasted from the year 1101 to the year 11,79
The practice lasted from the year 1293 to the year 12,The practice lasted from the year 1201 to the year 12,93
The employment lasted from the year 1604 to the year 16,The employment lasted from the year 1601 to the year 16,4
The effect lasted from the year 1357 to the year 13,The effect lasted from the year 1301 to the year 13,57
The contract lasted from the year 1364 to the year 13,The contract lasted from the year 1301 to the year 13,64
The impact lasted from the year 1394 to the year 13,The impact lasted from the year 1301 to the year 13,94
The trial lasted from the year 1694 to the year 16,The trial lasted from the year 1601 to the year 16,94
The project lasted from the year 1478 to the year 14,The project lasted from the year 1401 to the year 14,78
The contact lasted from the year 1678 to the year 16,The contact lasted from the year 1601 to the year 16,78
The impact lasted from the year 1459 to the year 14,The impact lasted from the year 1401 to the year 14,59
The test lasted from the year 1667 to the year 16,The test lasted from the year 1601 to the year 16,67
The project lasted from the year 1387 to the year 13,The project lasted from the year 1301 to the year 13,87
The testing lasted from the year 1223 to the year 12,The testing lasted from the year 1201 to the year 12,23
The deal lasted from the year 1484 to the year 14,The deal lasted from the year 1401 to the year 14,84
The campaign lasted from the year 1542 to the year 15,The campaign lasted from the year 1501 to the year 15,42
The attack lasted from the year 1261 to the year 12,The attack lasted from the year 1201 to the year 12,61
The case lasted from the year 1486 to the year 14,The case lasted from the year 1401 to the year 14,86
The fall lasted from the year 1171 to the year 11,The fall lasted from the year 1101 to the year 11,71
The operation lasted from the year 1706 to the year 17,The operation lasted from the year 1701 to the year 17,6
The effect lasted from the year 1238 to the year 12,The effect lasted from the year 1201 to the year 12,38
The program lasted from the year 1645 to the year 16,The program lasted from the year 1601 to the year 16,45
The trip lasted from the year 1203 to the year 12,The trip lasted from the year 1201 to the year 12,3
The trip lasted from the year 1322 to the year 13,The trip lasted from the year 1301 to the year 13,22
The shift lasted from the year 1149 to the year 11,The shift lasted from the year 1101 to the year 11,49
The contact lasted from the year 1358 to the year 13,The contact lasted from the year 1301 to the year 13,58
The process lasted from the year 1570 to the year 15,The process lasted from the year 1501 to the year 15,70
The effect lasted from the year 1751 to the year 17,The effect lasted from the year 1701 to the year 17,51
The contract lasted from the year 1420 to the year 14,The contract lasted from the year 1401 to the year 14,20
The development lasted from the year 1337 to the year 13,The development lasted from the year 1301 to the year 13,37
The employment lasted from the year 1734 to the year 17,The employment lasted from the year 1701 to the year 17,34
The campaign lasted from the year 1473 to the year 14,The campaign lasted from the year 1401 to the year 14,73
The contact lasted from the year 1559 to the year 15,The contact lasted from the year 1501 to the year 15,59
The project lasted from the year 1740 to the year 17,The project lasted from the year 1701 to the year 17,40
The trip lasted from the year 1727 to the year 17,The trip lasted from the year 1701 to the year 17,27
The testing lasted from the year 1653 to the year 16,The testing lasted from the year 1601 to the year 16,53
The practice lasted from the year 1408 to the year 14,The practice lasted from the year 1401 to the year 14,8
The study lasted from the year 1110 to the year 11,The study lasted from the year 1101 to the year 11,10
The progress lasted from the year 1798 to the year 17,The progress lasted from the year 1701 to the year 17,98
The tests lasted from the year 1141 to the year 11,The tests lasted from the year 1101 to the year 11,41
The employment lasted from the year 1461 to the year 14,The employment lasted from the year 1401 to the year 14,61
The project lasted from the year 1183 to the year 11,The project lasted from the year 1101 to the year 11,83
The fall lasted from the year 1497 to the year 14,The fall lasted from the year 1401 to the year 14,97
The fall lasted from the year 1529 to the year 15,The fall lasted from the year 1501 to the year 15,29
The impact lasted from the year 1566 to the year 15,The impact lasted from the year 1501 to the year 15,66
The existence lasted from the year 1223 to the year 12,The existence lasted from the year 1201 to the year 12,23
The fall lasted from the year 1454 to the year 14,The fall lasted from the year 1401 to the year 14,54
The impact lasted from the year 1780 to the year 17,The impact lasted from the year 1701 to the year 17,80
The operation lasted from the year 1624 to the year 16,The operation lasted from the year 1601 to the year 16,24
The tests lasted from the year 1485 to the year 14,The tests lasted from the year 1401 to the year 14,85
The effect lasted from the year 1162 to the year 11,The effect lasted from the year 1101 to the year 11,62
The case lasted from the year 1468 to the year 14,The case lasted from the year 1401 to the year 14,68
The order lasted from the year 1415 to the year 14,The order lasted from the year 1401 to the year 14,15
The case lasted from the year 1536 to the year 15,The case lasted from the year 1501 to the year 15,36
The case lasted from the year 1224 to the year 12,The case lasted from the year 1201 to the year 12,24
The quest lasted from the year 1711 to the year 17,The quest lasted from the year 1701 to the year 17,11
The process lasted from the year 1315 to the year 13,The process lasted from the year 1301 to the year 13,15
The quest lasted from the year 1257 to the year 12,The quest lasted from the year 1201 to the year 12,57
The growth lasted from the year 1602 to the year 16,The growth lasted from the year 1601 to the year 16,2
The development lasted from the year 1407 to the year 14,The development lasted from the year 1401 to the year 14,7
The rule lasted from the year 1523 to the year 15,The rule lasted from the year 1501 to the year 15,23
The marriage lasted from the year 1590 to the year 15,The marriage lasted from the year 1501 to the year 15,90
The employment lasted from the year 1629 to the year 16,The employment lasted from the year 1601 to the year 16,29
The project lasted from the year 1186 to the year 11,The project lasted from the year 1101 to the year 11,86
The attack lasted from the year 1208 to the year 12,The attack lasted from the year 1201 to the year 12,8
The attack lasted from the year 1686 to the year 16,The attack lasted from the year 1601 to the year 16,86
The effect lasted from the year 1456 to the year 14,The effect lasted from the year 1401 to the year 14,56
The trip lasted from the year 1482 to the year 14,The trip lasted from the year 1401 to the year 14,82
The contract lasted from the year 1325 to the year 13,The contract lasted from the year 1301 to the year 13,25
The contact lasted from the year 1288 to the year 12,The contact lasted from the year 1201 to the year 12,88
The operation lasted from the year 1274 to the year 12,The operation lasted from the year 1201 to the year 12,74
The program lasted from the year 1750 to the year 17,The program lasted from the year 1701 to the year 17,50
The rise lasted from the year 1474 to the year 14,The rise lasted from the year 1401 to the year 14,74
The campaign lasted from the year 1672 to the year 16,The campaign lasted from the year 1601 to the year 16,72
The program lasted from the year 1717 to the year 17,The program lasted from the year 1701 to the year 17,17
The test lasted from the year 1140 to the year 11,The test lasted from the year 1101 to the year 11,40
The quest lasted from the year 1422 to the year 14,The quest lasted from the year 1401 to the year 14,22
The campaign lasted from the year 1608 to the year 16,The campaign lasted from the year 1601 to the year 16,8
The contact lasted from the year 1545 to the year 15,The contact lasted from the year 1501 to the year 15,45
The order lasted from the year 1718 to the year 17,The order lasted from the year 1701 to the year 17,18
The campaign lasted from the year 1689 to the year 16,The campaign lasted from the year 1601 to the year 16,89
The program lasted from the year 1354 to the year 13,The program lasted from the year 1301 to the year 13,54
The test lasted from the year 1119 to the year 11,The test lasted from the year 1101 to the year 11,19
The study lasted from the year 1721 to the year 17,The study lasted from the year 1701 to the year 17,21
The growth lasted from the year 1518 to the year 15,The growth lasted from the year 1501 to the year 15,18
The fall lasted from the year 1725 to the year 17,The fall lasted from the year 1701 to the year 17,25
The case lasted from the year 1623 to the year 16,The case lasted from the year 1601 to the year 16,23
The development lasted from the year 1227 to the year 12,The development lasted from the year 1201 to the year 12,27
The rule lasted from the year 1364 to the year 13,The rule lasted from the year 1301 to the year 13,64
The contact lasted from the year 1736 to the year 17,The contact lasted from the year 1701 to the year 17,36
The growth lasted from the year 1245 to the year 12,The growth lasted from the year 1201 to the year 12,45
The order lasted from the year 1320 to the year 13,The order lasted from the year 1301 to the year 13,20
The fall lasted from the year 1225 to the year 12,The fall lasted from the year 1201 to the year 12,25
The existence lasted from the year 1733 to the year 17,The existence lasted from the year 1701 to the year 17,33
The testing lasted from the year 1531 to the year 15,The testing lasted from the year 1501 to the year 15,31
The impact lasted from the year 1497 to the year 14,The impact lasted from the year 1401 to the year 14,97
The order lasted from the year 1333 to the year 13,The order lasted from the year 1301 to the year 13,33
The existence lasted from the year 1768 to the year 17,The existence lasted from the year 1701 to the year 17,68
The deal lasted from the year 1530 to the year 15,The deal lasted from the year 1501 to the year 15,30
The tests lasted from the year 1447 to the year 14,The tests lasted from the year 1401 to the year 14,47
The rise lasted from the year 1486 to the year 14,The rise lasted from the year 1401 to the year 14,86
The rule lasted from the year 1626 to the year 16,The rule lasted from the year 1601 to the year 16,26
The test lasted from the year 1767 to the year 17,The test lasted from the year 1701 to the year 17,67
The trial lasted from the year 1131 to the year 11,The trial lasted from the year 1101 to the year 11,31
The development lasted from the year 1249 to the year 12,The development lasted from the year 1201 to the year 12,49
The work lasted from the year 1531 to the year 15,The work lasted from the year 1501 to the year 15,31
The rise lasted from the year 1175 to the year 11,The rise lasted from the year 1101 to the year 11,75
The tests lasted from the year 1409 to the year 14,The tests lasted from the year 1401 to the year 14,9
The impact lasted from the year 1707 to the year 17,The impact lasted from the year 1701 to the year 17,7
The operation lasted from the year 1182 to the year 11,The operation lasted from the year 1101 to the year 11,82
The development lasted from the year 1276 to the year 12,The development lasted from the year 1201 to the year 12,76
The plan lasted from the year 1481 to the year 14,The plan lasted from the year 1401 to the year 14,81
The fall lasted from the year 1730 to the year 17,The fall lasted from the year 1701 to the year 17,30
The order lasted from the year 1466 to the year 14,The order lasted from the year 1401 to the year 14,66
The trial lasted from the year 1554 to the year 15,The trial lasted from the year 1501 to the year 15,54
The deal lasted from the year 1327 to the year 13,The deal lasted from the year 1301 to the year 13,27
The program lasted from the year 1705 to the year 17,The program lasted from the year 1701 to the year 17,5
The process lasted from the year 1321 to the year 13,The process lasted from the year 1301 to the year 13,21
The testing lasted from the year 1239 to the year 12,The testing lasted from the year 1201 to the year 12,39
The program lasted from the year 1389 to the year 13,The program lasted from the year 1301 to the year 13,89
The riot lasted from the year 1727 to the year 17,The riot lasted from the year 1701 to the year 17,27
The practice lasted from the year 1404 to the year 14,The practice lasted from the year 1401 to the year 14,4
The program lasted from the year 1533 to the year 15,The program lasted from the year 1501 to the year 15,33
The fall lasted from the year 1775 to the year 17,The fall lasted from the year 1701 to the year 17,75
The test lasted from the year 1343 to the year 13,The test lasted from the year 1301 to the year 13,43
The rule lasted from the year 1146 to the year 11,The rule lasted from the year 1101 to the year 11,46
The growth lasted from the year 1178 to the year 11,The growth lasted from the year 1101 to the year 11,78
The progress lasted from the year 1775 to the year 17,The progress lasted from the year 1701 to the year 17,75
The marriage lasted from the year 1511 to the year 15,The marriage lasted from the year 1501 to the year 15,11
The employment lasted from the year 1532 to the year 15,The employment lasted from the year 1501 to the year 15,32
The trial lasted from the year 1235 to the year 12,The trial lasted from the year 1201 to the year 12,35
The order lasted from the year 1626 to the year 16,The order lasted from the year 1601 to the year 16,26
The test lasted from the year 1214 to the year 12,The test lasted from the year 1201 to the year 12,14
The practice lasted from the year 1549 to the year 15,The practice lasted from the year 1501 to the year 15,49
The attack lasted from the year 1566 to the year 15,The attack lasted from the year 1501 to the year 15,66
The plan lasted from the year 1646 to the year 16,The plan lasted from the year 1601 to the year 16,46
The development lasted from the year 1389 to the year 13,The development lasted from the year 1301 to the year 13,89
The program lasted from the year 1703 to the year 17,The program lasted from the year 1701 to the year 17,3
The shift lasted from the year 1696 to the year 16,The shift lasted from the year 1601 to the year 16,96
The tests lasted from the year 1557 to the year 15,The tests lasted from the year 1501 to the year 15,57
The existence lasted from the year 1658 to the year 16,The existence lasted from the year 1601 to the year 16,58
The effect lasted from the year 1596 to the year 15,The effect lasted from the year 1501 to the year 15,96
The rise lasted from the year 1182 to the year 11,The rise lasted from the year 1101 to the year 11,82
The tests lasted from the year 1215 to the year 12,The tests lasted from the year 1201 to the year 12,15
The employment lasted from the year 1325 to the year 13,The employment lasted from the year 1301 to the year 13,25
The process lasted from the year 1404 to the year 14,The process lasted from the year 1401 to the year 14,4
The project lasted from the year 1625 to the year 16,The project lasted from the year 1601 to the year 16,25
The growth lasted from the year 1467 to the year 14,The growth lasted from the year 1401 to the year 14,67
The rise lasted from the year 1171 to the year 11,The rise lasted from the year 1101 to the year 11,71
The tests lasted from the year 1185 to the year 11,The tests lasted from the year 1101 to the year 11,85
The growth lasted from the year 1518 to the year 15,The growth lasted from the year 1501 to the year 15,18
The campaign lasted from the year 1613 to the year 16,The campaign lasted from the year 1601 to the year 16,13
The riot lasted from the year 1208 to the year 12,The riot lasted from the year 1201 to the year 12,8
The order lasted from the year 1367 to the year 13,The order lasted from the year 1301 to the year 13,67
The rise lasted from the year 1283 to the year 12,The rise lasted from the year 1201 to the year 12,83
The shift lasted from the year 1392 to the year 13,The shift lasted from the year 1301 to the year 13,92
The attack lasted from the year 1379 to the year 13,The attack lasted from the year 1301 to the year 13,79
The study lasted from the year 1663 to the year 16,The study lasted from the year 1601 to the year 16,63
The operation lasted from the year 1537 to the year 15,The operation lasted from the year 1501 to the year 15,37
The attack lasted from the year 1232 to the year 12,The attack lasted from the year 1201 to the year 12,32
The shift lasted from the year 1497 to the year 14,The shift lasted from the year 1401 to the year 14,97
The attack lasted from the year 1281 to the year 12,The attack lasted from the year 1201 to the year 12,81
The impact lasted from the year 1290 to the year 12,The impact lasted from the year 1201 to the year 12,90
The shift lasted from the year 1697 to the year 16,The shift lasted from the year 1601 to the year 16,97
The rise lasted from the year 1523 to the year 15,The rise lasted from the year 1501 to the year 15,23
The test lasted from the year 1605 to the year 16,The test lasted from the year 1601 to the year 16,5
The impact lasted from the year 1337 to the year 13,The impact lasted from the year 1301 to the year 13,37
The trial lasted from the year 1398 to the year 13,The trial lasted from the year 1301 to the year 13,98
The testing lasted from the year 1592 to the year 15,The testing lasted from the year 1501 to the year 15,92
The progress lasted from the year 1361 to the year 13,The progress lasted from the year 1301 to the year 13,61
The trip lasted from the year 1718 to the year 17,The trip lasted from the year 1701 to the year 17,18
The order lasted from the year 1787 to the year 17,The order lasted from the year 1701 to the year 17,87
The trip lasted from the year 1470 to the year 14,The trip lasted from the year 1401 to the year 14,70
The effect lasted from the year 1202 to the year 12,The effect lasted from the year 1201 to the year 12,2
The test lasted from the year 1353 to the year 13,The test lasted from the year 1301 to the year 13,53
The progress lasted from the year 1654 to the year 16,The progress lasted from the year 1601 to the year 16,54
The testing lasted from the year 1251 to the year 12,The testing lasted from the year 1201 to the year 12,51
The testing lasted from the year 1625 to the year 16,The testing lasted from the year 1601 to the year 16,25
The plan lasted from the year 1756 to the year 17,The plan lasted from the year 1701 to the year 17,56
The case lasted from the year 1510 to the year 15,The case lasted from the year 1501 to the year 15,10
The trip lasted from the year 1163 to the year 11,The trip lasted from the year 1101 to the year 11,63
The campaign lasted from the year 1377 to the year 13,The campaign lasted from the year 1301 to the year 13,77
The rise lasted from the year 1673 to the year 16,The rise lasted from the year 1601 to the year 16,73
The rise lasted from the year 1706 to the year 17,The rise lasted from the year 1701 to the year 17,6
The shift lasted from the year 1407 to the year 14,The shift lasted from the year 1401 to the year 14,7
The order lasted from the year 1538 to the year 15,The order lasted from the year 1501 to the year 15,38
The plan lasted from the year 1480 to the year 14,The plan lasted from the year 1401 to the year 14,80
The case lasted from the year 1531 to the year 15,The case lasted from the year 1501 to the year 15,31
The quest lasted from the year 1404 to the year 14,The quest lasted from the year 1401 to the year 14,4
The impact lasted from the year 1235 to the year 12,The impact lasted from the year 1201 to the year 12,35
The campaign lasted from the year 1181 to the year 11,The campaign lasted from the year 1101 to the year 11,81
The plan lasted from the year 1795 to the year 17,The plan lasted from the year 1701 to the year 17,95
The rise lasted from the year 1517 to the year 15,The rise lasted from the year 1501 to the year 15,17
The quest lasted from the year 1380 to the year 13,The quest lasted from the year 1301 to the year 13,80
The contact lasted from the year 1677 to the year 16,The contact lasted from the year 1601 to the year 16,77
The practice lasted from the year 1546 to the year 15,The practice lasted from the year 1501 to the year 15,46
The fall lasted from the year 1785 to the year 17,The fall lasted from the year 1701 to the year 17,85
The contract lasted from the year 1615 to the year 16,The contract lasted from the year 1601 to the year 16,15
The process lasted from the year 1745 to the year 17,The process lasted from the year 1701 to the year 17,45
The impact lasted from the year 1317 to the year 13,The impact lasted from the year 1301 to the year 13,17
The campaign lasted from the year 1516 to the year 15,The campaign lasted from the year 1501 to the year 15,16
The growth lasted from the year 1640 to the year 16,The growth lasted from the year 1601 to the year 16,40
The fall lasted from the year 1282 to the year 12,The fall lasted from the year 1201 to the year 12,82
The rule lasted from the year 1368 to the year 13,The rule lasted from the year 1301 to the year 13,68
The growth lasted from the year 1688 to the year 16,The growth lasted from the year 1601 to the year 16,88
The case lasted from the year 1351 to the year 13,The case lasted from the year 1301 to the year 13,51
The progress lasted from the year 1656 to the year 16,The progress lasted from the year 1601 to the year 16,56
The trip lasted from the year 1229 to the year 12,The trip lasted from the year 1201 to the year 12,29
The rise lasted from the year 1474 to the year 14,The rise lasted from the year 1401 to the year 14,74
The tests lasted from the year 1652 to the year 16,The tests lasted from the year 1601 to the year 16,52
The employment lasted from the year 1314 to the year 13,The employment lasted from the year 1301 to the year 13,14
The fall lasted from the year 1179 to the year 11,The fall lasted from the year 1101 to the year 11,79
The work lasted from the year 1265 to the year 12,The work lasted from the year 1201 to the year 12,65
The quest lasted from the year 1496 to the year 14,The quest lasted from the year 1401 to the year 14,96
The campaign lasted from the year 1568 to the year 15,The campaign lasted from the year 1501 to the year 15,68
The operation lasted from the year 1655 to the year 16,The operation lasted from the year 1601 to the year 16,55
The effect lasted from the year 1518 to the year 15,The effect lasted from the year 1501 to the year 15,18
The test lasted from the year 1330 to the year 13,The test lasted from the year 1301 to the year 13,30
The existence lasted from the year 1348 to the year 13,The existence lasted from the year 1301 to the year 13,48
The operation lasted from the year 1387 to the year 13,The operation lasted from the year 1301 to the year 13,87
The study lasted from the year 1790 to the year 17,The study lasted from the year 1701 to the year 17,90
The test lasted from the year 1232 to the year 12,The test lasted from the year 1201 to the year 12,32
